id_campo,etiqueta,descripcion,tipo,orden_de_calculo,formula,origen,formato,unidades,visualizable,comparable,en_mv,en_localidades
hogares_1_avg,Media hogares un núcleo,Valor medio de hogares_1 en el grupo de referencia,media,675,avg(hogares_1),,entero,hogares,f,f,f,f
hogares_2_avg,Media hogares dos núcleos,Valor medio de hogares_2 en el grupo de referencia,media,680,avg(hogares_2),,entero,hogares,f,f,f,f
hogares_3_avg,Media hogares tres o más núcleos,Valor medio de hogares_3 en el grupo de referencia,media,685,avg(hogares_3),,entero,hogares,f,f,f,f
hogares_0_porc_avg,Media % hogares sin núcleo,Valor medio de hogares_0_porc en el grupo de referencia,media,690,avg(hogares_0_porc),,porcentaje_2,%,f,f,f,f
hogares_1_porc_avg,Media % hogares un núcleo,Valor medio de hogares_1_porc en el grupo de referencia,media,695,avg(hogares_1_porc),,porcentaje_2,%,f,f,f,f
hogares_2_porc_avg,Media % hogares dos núcleos,Valor medio de hogares_2_porc en el grupo de referencia,media,700,avg(hogares_2_porc),,porcentaje_2,%,f,f,f,f
hogares_3_porc_avg,Media % hogares tres o más,Valor medio de hogares_3_porc en el grupo de referencia,media,705,avg(hogares_3_porc),,porcentaje_2,%,f,f,f,f
deficit_teorico_viviendas_avg,Media déficit teórico viviendas,Valor medio de deficit_teorico_viviendas en el grupo de referencia,media,710,avg(deficit_teorico_viviendas),,entero,viviendas,f,f,f,f
deficit_teorico_viviendas_porc_avg,Media % déficit teórico sobre hogares,Valor medio de deficit_teorico_viviendas_porc en el grupo de referencia,media,712,avg(deficit_teorico_viviendas_porc),,porcentaje_2,%,f,f,f,f
tamanio_hogar_variacion_2021,Variación del tamaño medio de hogar desde 2021,Diferencia entre el tamaño medio de hogar actual y el valor censal de 2021. Valores positivos indican que los hogares se han comprimido: más personas por vivienda disponible que en 2021.,ratio,713,tamanio_hogar_actual - personas_por_hogar,PT02 (diccionario),decimal_2,pers./hogar,t,t,t,f
tamanio_hogar_variacion_2021_max,Máximo variación tamaño hogar desde 2021,,maximo,714,max(tamanio_hogar_variacion_2021),,decimal_2,,f,f,f,f
tamanio_hogar_actual_max,Máximo tamaño medio del hogar actual,,maximo,715,max(tamanio_hogar_actual),,decimal_2,,f,f,f,f
tamanio_hogar_variacion_2021_avg,Media variación tamaño hogar desde 2021,,media,716,avg(tamanio_hogar_variacion_2021),,decimal_2,,f,f,f,f
tamanio_hogar_actual_avg,Media tamaño medio del hogar actual,,media,717,avg(tamanio_hogar_actual),,decimal_2,,f,f,f,f
alq_m2_media_avg,Precio medio del alquiler — media del grupo,Media del precio de alquiler €/m² entre los municipios del mismo tipo. Benchmark de referencia para comparar cada municipio con su grupo.,media,720,avg(alq_m2_media),serpavi_alquiler,decimal_2,€/m²,f,f,t,f
alq_m2_media_max,Precio medio del alquiler — máximo del grupo,Máximo del precio de alquiler €/m² entre los municipios del mismo tipo.,maximo,725,max(alq_m2_media),serpavi_alquiler,decimal_2,€/m²,f,f,t,f
alq_m2_variacion_10a_avg,Variación 10 años del alquiler — media del grupo,Media de la variación porcentual del alquiler en 10 años entre los municipios del mismo tipo.,media,730,avg(alq_m2_variacion_10a),serpavi_alquiler,porcentaje_1,%,f,f,t,f
alq_m2_variacion_10a_max,Variación 10 años del alquiler — máximo del grupo,Máximo de la variación porcentual del alquiler en 10 años entre los municipios del mismo tipo.,maximo,735,max(alq_m2_variacion_10a),serpavi_alquiler,porcentaje_1,%,f,f,t,f
alq_m2_media,Precio medio del alquiler (€/m²),"Precio medio del alquiler de vivienda habitual por m² (media ponderada por número de viviendas). Fuente: SERPAVI (MIVAU), explotación tributaria AEAT.",base,,,serpavi_alquiler,decimal_2,€/m²,t,t,t,f
alq_m2_variacion_10a,Variación del precio de alquiler en 10 años (%),"Variación porcentual del precio medio del alquiler por m² respecto a 10 años atrás. Calculada como (precio_actual − precio_hace_10_años) / precio_hace_10_años × 100, usando medias ponderadas por número de viviendas.",base,,,serpavi_alquiler,porcentaje_1,%,t,t,t,f
alq_m2_year,Año del dato de alquiler,Año del último dato disponible de precio de alquiler SERPAVI.,base,,,serpavi_alquiler,date_year,,f,f,f,f
ambito,Ámbito,Ámbito,base,,,Determinado en el proceso,,,f,t,t,t
etiqueta,Etiqueta,Etiqueta,base,,,canarias.nombre | islas.nombre | municipos.nombre | localidades.nombre,texto,,f,t,t,t
etiqueta_ambito_superior,Etiqueta del ámbito superior,Etiqueta del ámbito superior,base,,,canarias.nombre | islas.nombre | municipos.nombre | localidades.nombre,texto,,f,t,t,t
fecha_calculo,Fecha de cálculo,Fecha de cálculo,base,,,Determinado en el proceso,fecha,,f,t,t,t
hogares_0,Hogares sin núcleo familiar,Hogares sin ningún núcleo familiar (personas solas o conviventes sin vínculos familiares de pareja o progenitor-hijo),base,,,,entero,hogares,f,f,t,f
hogares_1,Hogares con un núcleo familiar,Hogares formados por un único núcleo familiar,base,,,,entero,hogares,f,f,t,f
hogares_2,Hogares con dos núcleos familiares,Hogares que agrupan dos núcleos familiares distintos en una misma vivienda,base,,,,entero,hogares,f,f,t,f
hogares_3,Hogares con tres o más núcleos familiares,Hogares que agrupan tres o más núcleos familiares distintos en una misma vivienda,base,,,,entero,hogares,f,f,t,f
hogares_total,Total de hogares (Censo núcleos),"Total de hogares según el Censo de Población y Viviendas, obtenido por suma de las categorías de núcleos familiares",base,,,,entero,hogares,f,f,t,f
isla_id,Id de la isla,Id de la isla,base,,,Determinado en el proceso,,,f,t,t,t
localidad_id,Id de la localidad,Id de la localidad,base,,,Determinado en el proceso,,,f,t,t,t
municipio_id,Id del municipio,Id del municipio,base,,,Determinado en el proceso,,,f,t,t,t
personas_por_hogar,Personas por hogar,Personas por hogar,base,,,hogares.miembros,decimal_2,personas ,f,f,f,f
personas_por_hogar_year,Personas por hogar período,Personas por hogar período,base,,,hogares.year,date_year,,f,f,f,f
plazas_at_residenciales,Plazas regladas en zonas residenciales,Plazas regladas en zonas residenciales,base,,,alojamientos,entero,plazas,f,t,f,t
plazas_at_turisticas,Plazas regladas en zonas turísticas,Plazas regladas en zonas turísticas,base,,,alojamientos,entero,plazas,f,t,f,t
plazas_vv_residenciales,Plazas vacacionales en zonas residenciales,Plazas vacacionales en zonas residenciales,base,,,alojamientos,entero,plazas,f,t,f,t
plazas_vv_turisticas,Plazas vacacionales en zonas turísticas,Plazas vacacionales en zonas turísticas,base,,,alojamientos,entero,plazas,f,t,f,t
poblacion,Población censada,Población censada,base,,,poblacion.valor,entero,personas,f,f,f,f
poblacion_year,Año del censo de población,Año del censo de población,base,,,poblacion.year,entero,,f,f,f,f
pte_r,Población turística equivalente reglada (PTEr),Población turística equivalente reglada (PTEr),base,,,pte_reglada.pte_reglada,entero,personas,f,t,f,f
pte_r_year,Año de cálculo de la PTEr,Año de cálculo de la PTEr,base,,,pte_reglada.year,date_year,,f,f,f,f
pte_v,Población turística equivalente vacacional (PTEv),Población turística equivalente vacacional (PTEv),base,,,pte_vacacional.ptev,entero,personas,f,t,f,f
pte_v_periodo,Período de cálculo de la PTEv,Período de cálculo de la PTEv,base,,,pte_vacacional.year + pte_vacacional.mes,date_year,,f,f,f,f
superficie_km2,Superficie en km² ,Superficie en km² ,base,,,superficies.superficie,decimal_2,km²,f,f,f,f
tamanio_hogar_actual,Tamaño medio del hogar actual,Personas por hogar calculado con la población actualizada y las viviendas habituales del Censo 2021 más viviendas terminadas post-censo (solo Canarias). Indicador de presión habitacional: su aumento respecto a 2021 señala contracción de la oferta frente al crecimiento demográfico.,base_calculado,,,PT01 (poblacion / viviendas_habituales_efectivas),decimal_2,pers./hogar,t,t,t,f
tipo_isla,Tipo de isla,Tipo de isla,base,,,"Clasificación geográfica: Centrales, Occidentales, Orientales",texto,,f,t,t,t
tipo_municipio,Tipo de municipio,Tipo de municipio,base,,,Clasificación propia basada en la inclusión de microdestinos y población,texto,,f,t,t,t
uds_vv_residenciales,Viviendas turísticas en zonas residenciales,Viviendas turísticas en zonas residenciales,base,,,alojamientos,entero,viviendas,f,t,f,t
uds_vv_turisticas,Viviendas turísticas en zonas turísticas,Viviendas turísticas en zonas turísticas,base,,,alojamientos,entero,viviendas,f,t,f,t
viviendas_esporadicas,Viviendas de uso esporádico,Viviendas de uso esporádico,base,,,parque_viviendas.esporadicas,entero,viviendas,f,f,f,f
viviendas_habituales,Viviendas habituales,Viviendas habituales,base,,,parque_viviendas.habituales,entero,viviendas,f,f,f,f
viviendas_total,Total de viviendas,Total de viviendas,base,,,parque_viviendas.total,entero,viviendas,f,f,f,f
viviendas_vacias,Viviendas vacías,Viviendas vacías,base,,,parque_viviendas.vacias,entero,viviendas,f,f,f,f
viviendas_year,Año del Censo de viviendas,"Año de referencia del Censo del que proceden los datos de viviendas (habituales, vacías, esporádicas). Permite aplicar la corrección COVID: censos anteriores a 2026 usan viviendas_habituales directamente.",base,,,viviendas_municipios.year,date_year,,f,f,t,f
year_nucleos_censales,Año del Censo de núcleos familiares,Año de referencia del Censo del que proceden los datos de núcleos familiares por hogar,base,,,,date_year,,f,f,t,f
