id_campo,etiqueta,descripcion,tipo,orden_de_calculo,formula,origen,formato,unidades,visualizable,comparable,en_mv,en_localidades
pte_v_porc,Porcentaje de población turística equivalente vacacional sobre PTE,Porcentaje de población turística equivalente vacacional sobre PTE,porcentaje,160,pte_v / pte_total * 100,,porcentaje_2,,f,t,f,f
pte_r_porc,Porcentaje de población turística equivalente reglada sobre PTE,Porcentaje de población turística equivalente reglada sobre PTE,porcentaje,165,pte_r / pte_total * 100,,porcentaje_2,,f,t,f,f
pte_v_total_poblacion_porc,Porcentaje de población turística equivalente vacacional sobre población total,Porcentaje de población turística equivalente vacacional sobre población total,porcentaje,170,pte_v / (pte_total + poblacion) * 100,,porcentaje_2,,f,t,f,f
pte_r_total_poblacion_porc,Porcentaje de población turística equivalente reglada sobre población total,Porcentaje de población turística equivalente reglada sobre población total,porcentaje,175,pte_r / (pte_total + poblacion) * 100,,porcentaje_2,,f,t,f,f
poblacion_total_poblacion_porc,Porcentaje de población censada sobre población total,Porcentaje de población censada sobre población total,porcentaje,180,poblacion / (poblacion_total) * 100,,porcentaje_2,,f,t,f,f
rit_r_porc,Porcentaje de presión reglada,Porcentaje de presión reglada,porcentaje,181,rit_r / rit * 100,,porcentaje_2,,f,t,f,f
rit_v_porc,Porcentaje de presión vacacional,Porcentaje de presión vacacional,porcentaje,182,rit_v / rit * 100,,porcentaje_2,,f,t,f,f
viviendas_vacias_viviendas_total,Presión de la vivienda vacía,Presión de la vivienda vacía,porcentaje,185,viviendas_vacias / viviendas_total * 100,,porcentaje_2,viviendas,t,t,t,f
viviendas_esporadicas_viviendas_total,Presión de la vivienda ocasional,Presión de la vivienda ocasional,porcentaje,190,viviendas_esporadicas / viviendas_total*100,,porcentaje_2,viviendas,t,t,t,f
viviendas_habituales_viviendas_total,Disponibilidad de viviendas habituales,Disponibilidad de viviendas habituales,porcentaje,195,viviendas_habituales / viviendas_total * 100,,porcentaje_2,,f,t,f,f
plazas_vacacionales_plazas_total_porc,Peso de la oferta vacacional,Peso de la oferta vacacional,porcentaje,200,plazas_vacacionales / plazas_total *100,,porcentaje_2,plazas,t,t,t,f
plazas_regladas_plazas_total_porc,Peso de la oferta reglada,Peso de la oferta reglada,porcentaje,205,plazas_regladas / plazas_total *100,,porcentaje_2,,f,t,f,f
rit_km2_presion_humana_km2,Peso de la población turística equivalente en la presión humana,Peso de la población turística equivalente en la presión humana,porcentaje,210,rit_km2 / presion_humana_km2 * 100,,porcentaje_2,,f,t,f,f
residentes_km2_presion_humana_km2,Peso de la población residente en la presión humana,Peso de la población residente en la presión humana,porcentaje,215,residentes_km2 / presion_humana_km2 * 100,,porcentaje_2,,f,t,f,f
plazas_at_residenciales_oferta_en_residencial,Peso de la oferta reglada en zonas residenciales,Peso de la oferta reglada en zonas residenciales,porcentaje,220,plazas_at_residenciales / plazas_suelo_residencial * 100,,porcentaje_2,,f,t,f,f
plazas_vv_residenciales_oferta_en_residencial,Peso de la oferta vacacional en zonas turísticas,Peso de la oferta vacacional en zonas residenciales,porcentaje,225,plazas_vv_residenciales / plazas_suelo_residencial * 100,,porcentaje_2,,f,t,f,f
plazas_at_turisticas_oferta_en_turistico,Peso de la oferta turística en zonas turísticas,Peso de la oferta turística en zonas turísticas,porcentaje,226,plazas_at_turisticas / plazas_suelo_turistico * 100,,porcentaje_2,,f,t,f,f
plazas_vv_turisticas_oferta_en_turistico,Peso de la oferta vacacional en zonas turísticas,Peso de la oferta vacacional en zonas turísticas,porcentaje,227,plazas_vv_turisticas / plazas_suelo_turistico * 100,,porcentaje_2,,f,t,f,f
plazas_suelo_residencial_porc,Desplazamiento de la actividad turística a zonas residenciales,Desplazamiento de la actividad turística a zonas residenciales,porcentaje,230,plazas_suelo_residencial / plazas_total * 100,,porcentaje_2,plazas,t,t,t,f
plazas_suelo_turistico_porc,Actividad turística en zonas turísticas,Actividad turística en zonas turísticas,porcentaje,235,plazas_suelo_turistico / plazas_total * 100,,porcentaje_2,,f,t,f,f
rit_r_max,Máximo para RIT reglada,Máximo para RIT reglada,maximo,240,max(rit_r),,decimal_2,,f,f,f,f
rit_v_max,Máximo para RIT vacacional,Máximo para RIT vacacional,maximo,245,max(rit_v),,decimal_2,,f,f,f,f
rit_max,Máximo para Ratio de Intensidad Turística,Máximo para Ratio de Intensidad Turística,maximo,250,max(rit),,decimal_2,,f,f,f,f
rit_r_km2_max,Máximo para RIT reglada / km²,Máximo para RIT reglada / km²,maximo,255,max(rit_r_km2),,decimal_2,,f,f,f,f
rit_v_km2_max,Máximo para RIT vacacional / km²,Máximo para RIT vacacional / km²,maximo,260,max(rit_v_km2),,decimal_2,,f,f,f,f
rit_km2_max,Máximo para RIT / km²,Máximo para RIT / km²,maximo,265,max(rit_km2),,decimal_2,,f,f,f,f
residentes_km2_max,Máximo para Residentes / km² ,Máximo para Residentes / km² ,maximo,270,max(residentes_km2),,decimal_2,,f,f,f,f
presion_humana_km2_max,Máximo para Presión humana /km² ,Máximo para Presión humana /km² ,maximo,275,max(presion_humana_km2),,decimal_2,,f,f,f,f
vacacional_por_viviendas_habituales_max,Máximo para Presión de viviendas vacacionales sobre habituales,Máximo para Presión de viviendas vacacionales sobre habituales,maximo,280,max(vacacional_por_viviendas_habituales),,porcentaje_2,,f,f,f,f
vacacional_por_viviendas_total_max,Máximo para Presión de viviendas vacacionales sobre el total de viviendas,Máximo para Presión de viviendas vacacionales sobre el total de viviendas,maximo,285,max(vacacional_por_viviendas_total),,porcentaje_2,,f,f,f,f
uds_vv_habitantes_max,Máximo para Vacacionales cada 100 habitantes,Máximo para Vacacionales cada 100 habitantes,maximo,290,max(uds_vv_habitantes),,decimal_2,,f,f,f,f
uds_vv_residenciales_habitantes_max,Máximo para Vacacionales en zonas residenciales por cada 100 habitantes,Máximo para Vacacionales en zonas residenciales por cada 100 habitantes,maximo,295,max(uds_vv_residenciales_habitantes),,porcentaje_2,,f,f,f,f
deficit_oferta_viviendas_max,Máximo para Ratio de déficit teórico de viviendas,Máximo para Ratio de déficit teórico de viviendas,maximo,300,max(deficit_oferta_viviendas),,decimal_2,,f,f,f,f
uds_vv_residenciales_porc_max,Máximo para Porcentaje de viviendas vacacionales en zonas residenciales,Máximo para Porcentaje de viviendas vacacionales en zonas residenciales,maximo,305,max(uds_vv_residenciales_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
uds_vv_turisticas_porc_max,Máximo para Porcentaje de viviendas vacacionales en zonas turísticas,Máximo para Porcentaje de viviendas vacacionales en zonas turísticas,maximo,310,max(uds_vv_turisticas_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
plazas_vv_residenciales_porc_max,Máximo para Porcentaje de plazas vacacionales en zonas residenciales,Máximo para Porcentaje de plazas vacacionales en zonas residenciales,maximo,315,max(plazas_vv_residenciales_porc) | Excluyendo valores 100,,porcentaje_2,,f,f,f,f
