establecimiento_id;establecimiento_nombre_comercial;establecimiento_modalidad;establecimiento_tipologia;establecimiento_clasificacion;direccion;direccion_isla_nombre;direccion_provincia_nombre;direccion_municipio_nombre;direccion_localidad_nombre;direccion_codigo_postal;unidades_explotacion;plazas;longitud;latitud
-38-4-0000004;Masca Witch Garden;Extrahotelera;_U;Categoria Unica;Lomo De Arriba,;Tenerife;Santa Cruz De Tenerife;Buenavista Del Norte;_U;_U;0;0;0;0
A-38-4-0000581;Aguamarina;Extrahotelera;Apartamento;Tres Estrellas;Avda Del Atlantico, 6 (Urb. Golf Del Sur),;Tenerife;Santa Cruz De Tenerife;San Miguel De Abona;San Miguel De Abona;38620;160;320;-16.608961;28.024132
A-38-4-0000633;Fragua De Eliseo, La;Extrahotelera;Casa Emblematica;Categoria Unica;Calzadita La Jimemez, 5 - Igueste De Candelaria, 5;Tenerife;Santa Cruz De Tenerife;Candelaria;Igueste;38520;1;3;-16.377214;28.38536
A-38-4-0000644;Casas Alberto;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Fermin Perez, 88, 88;Tenerife;Santa Cruz De Tenerife;San Miguel De Abona;Frontón (El);38620;1;2;-16.613266;28.113148
A-38-4-0000645;Casa Hilaria;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Santa Ana,15, 13;Tenerife;Santa Cruz De Tenerife;Garachico;Garachico;38450;1;4;-16.767203;28.371337
A-38-4-0000646;Finca El Lance;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Dr. Virgos Pinto, 23-27, 88;Tenerife;Santa Cruz De Tenerife;El Tanque;Tanque (El);38000;5;14;-16.779927;28.360302
A-38-4-0000648;Topacio;Extrahotelera;Casa Emblematica;Categoria Unica;C/. Candelaria, 7;Tenerife;Santa Cruz De Tenerife;Santa Cruz Tenerife;Santa Cruz De Tenerife;38000;2;4;-16.249292;28.465053
A-38-4-0000654;Hi Life;Extrahotelera;Casa Emblematica;Categoria Unica;C/. Emilio Calzadilla Esq. C/. Santa Rosa De Lima, 40;Tenerife;Santa Cruz De Tenerife;Santa Cruz Tenerife;Santa Cruz De Tenerife;38002;1;30;-16.249964;28.469266
A-38-4-0000655;La Tranquilidad;Extrahotelera;Casa Emblematica;Categoria Unica;C/ La Audiencia, 6, 6;Tenerife;Santa Cruz De Tenerife;Tegueste;Tegueste;38000;1;4;-16.333833;28.523647
A-38-4-0000661;El Cubo;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Temistocles Diaz Llanos, 2, 2;Tenerife;Santa Cruz De Tenerife;San Juan De La Rambla;San Juan De La Rambla;38420;1;2;-16.647238;28.393808
A-38-4-0000662;Mc San Agustin;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Viana, 34 (/Esq. C/ San Agustin), 34;Tenerife;Santa Cruz De Tenerife;San Cristobal De La Laguna;San Cristobal De La Laguna;38201;4;16;-16.314232;28.48924
A-38-4-0000689;11 Holiday Homes;Extrahotelera;Apartamento;Tres Estrellas;Urb. Golf Del Sur, S/N.,;Tenerife;Santa Cruz De Tenerife;San Miguel De Abona;Golf Del Sur;38620;11;32;-16.600742;28.026915
A-38-4-0000701;La Arañita;Extrahotelera;Casa Emblematica;Categoria Unica;C/ La Arañita, 15,;Tenerife;Santa Cruz De Tenerife;Tegueste;Tegueste;38280;1;6;-16.332716;28.52391
A-38-4-0000708;Paraiso Del Sol;Extrahotelera;Apartamento;2 Llaves;Avda. V Centenario, 7;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38670;94;192;-16.728839;28.067909
A-38-4-0000931;Casa Del Platano;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Hercules, 4,;Tenerife;Santa Cruz De Tenerife;Icod De Los Vinos;Icod De Los Vinos;38430;5;10;-16.721536;28.367713
A-38-4-0000975;Villa Duque 16;Extrahotelera;Villa;Categoria Unica;C/. Bischofshofen, 16;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38670;1;6;-16.738348;28.091953
A-38-4-0001065;Casa Mascareño;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Calvo Sotelo, 3,;Tenerife;Santa Cruz De Tenerife;Garachico;Garachico;38450;1;6;-16.764667;28.37395
A-38-4-0001600;Cristal Del Acantilado De Los Gigantes;Extrahotelera;Apartamento;Cinco Estrellas;C/ Geranio;Tenerife;Santa Cruz De Tenerife;Santiago Del Teide;Acantilados De Los Gigantes;38683;19;82;-16.837496;28.242478
A-38-4-0001821;Casa Aurelia;Extrahotelera;Casa Emblematica;Categoria Unica;C/ La Morrita, 13 (Pasaje De La Rosa) ,;Tenerife;Santa Cruz De Tenerife;Candelaria;Igueste;38520;1;2;-16.399429;28.358401
A-38-4-0002293;Nava Suites;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Nava Y Grimon;Tenerife;Santa Cruz De Tenerife;San Cristobal De La Laguna;San Cristobal De La Laguna;38201;10;26;-16.313732;28.488128
A-38-4-0003500;Guayero;Extrahotelera;Apartamento;2 Llaves;Penetracion Avda.,;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38640;32;96;-16.713221;28.04976
A-38-4-0004900;Bungamerica;Extrahotelera;Apartamento;2 Llaves;Uruguay, 2, 2;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38660;32;114;-16.730795;28.070008
A-38-4-0005400;Canaima;Extrahotelera;Apartamento;2 Llaves;Agustin Espinosa, 15, 15;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;14;42;-16.556018;28.41444
A-38-4-0005900;Chinyero;Extrahotelera;Apartamento;2 Llaves;Ctra. Botanico, 35,;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;28;59;-16.54357;28.412853
A-38-4-0006584;1ª Linea Candelaria;Extrahotelera;Apartamento;Categoria Unica;Avda Maritima, 157, Pta. D-801,;Tenerife;Santa Cruz De Tenerife;Candelaria;Candelaria;38530;1;6;-16.362446;28.374129
A-38-4-0006705;Suites De Franchy;Extrahotelera;Casa Emblematica;Categoria Unica;C/ Viera, 30,;Tenerife;Santa Cruz De Tenerife;La Orotava;Orotava (La);38300;6;14;-16.526815;28.391595
A-38-4-0007000;Principado, El;Extrahotelera;Apartamento;2 Llaves;Melchor Luz, 3 Avda.,;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;59;118;-16.555518;28.413519
A-38-4-0007042;Villa Orovales;Extrahotelera;Villa;Categoria Unica;_U;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;1;7;0;0
A-38-4-0007100;Olympia;Extrahotelera;Apartamento;2 Llaves;Venezuela, 12, 12;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38660;70;149;-16.729276;28.071514
A-38-4-0007214;Haciendas;Extrahotelera;Apartamento;Tres Estrellas;Avda. Europa, 31 (San Eugenio Alto),;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38660;42;172;-16.731803;28.077376
A-38-4-0007300;Carabela, La;Extrahotelera;Apartamento;Tres Estrellas;C/. Richard J. Yeoward, 1;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;45;90;-16.538119;28.411151
A-38-4-0007515;Lovely Tenerife Ii;Extrahotelera;Apartamento;Categoria Unica;C/ La Polka, 22, Pta. 75,;Tenerife;Santa Cruz De Tenerife;San Miguel De Abona;Llano Del Camello;38639;1;7;-16.620496;28.055725
A-38-4-0007558;Haciendas Iv;Extrahotelera;Apartamento;Tres Estrellas;C/. Dinamarca, 7 (San Eugenio Alto),;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38660;62;314;-16.72492;28.08114
A-38-4-0007575;Villa Duque 14;Extrahotelera;Villa;Categoria Unica;C/. Bischofshofen, 14, 14;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38679;1;6;-16.738487;28.09178
A-38-4-0007600;Teneguia;Extrahotelera;Apartamento;Tres Estrellas;Avda. Melchor Luz - Local 5, 2;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;177;354;-16.556525;28.413666
A-38-4-0007800;Gf Noelia;Extrahotelera;Apartamento;_U;_U;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;106;212;0;0
A-38-4-0007888;Villa Duque 18;Extrahotelera;Villa;Categoria Unica;C/. Bischofshofen, 18, 18;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38000;1;6;-16.737977;28.091962
A-38-4-0007900;Paradero I;Extrahotelera;Apartamento;2 Llaves;Bolivia, S/N,;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38660;46;99;-16.72779;28.06679
A-38-4-0008000;Parque De Las Americas;Extrahotelera;Apartamento;2 Llaves;Avda. Rafael Puig, 16,;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38660;53;171;-16.7307;28.071393
A-38-4-0008094;Opuntia Norte;Extrahotelera;Apartamento;Categoria Unica;C/ Jupiter Nº 9, Bloque 6.5, Piso 4º- A,;Tenerife;Santa Cruz De Tenerife;La Orotava;Orotava (La);38300;1;6;-16.518266;28.38963
A-38-4-0008406;Villa Duque 16;Extrahotelera;Villa;Categoria Unica;C/. Bischofshofen, 18, 18;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38660;1;6;-16.737977;28.091962
A-38-4-0008600;Marazul;Extrahotelera;Apartamento;1 Llave;Evaristo Gomez , 2,;Tenerife;Santa Cruz De Tenerife;Granadilla De Abona;Medano (El);38612;26;88;-16.539388;28.045378
A-38-4-0008791;Tranquilo, Amplio Y Acogedor;Extrahotelera;Apartamento;Categoria Unica;C/ Sebastian Padron Acosta, S/N, Blq. 3, 2º E,;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;1;2;0;0
A-38-4-0008888;Orlando;Extrahotelera;Apartamento;Categoria Unica;Urb Torviscas, 5, Esc. 7, Piso 01, Pta. 8,;Tenerife;Santa Cruz De Tenerife;Adeje;Torviscas;38670;1;3;-16.735785;28.082507
A-38-4-0009100;Masaru;Extrahotelera;Apartamento;Tres Estrellas;Robles, Los, S/N Urb. La Paz, 2;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;194;421;-16.53906;28.416176
A-38-4-0009209;Amarilla Golf Residences;Extrahotelera;Apartamento;_U;Avda. Angeles Ascanio Cullen, (P.P. Amarilla Golf, Manzana 7b);Tenerife;Santa Cruz De Tenerife;San Miguel De Abona;Amarilla Golf;38620;0;0;0;0
A-38-4-0009300;Caribe;Extrahotelera;Apartamento;Tres Estrellas;Avda. V Centenario, 3;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38660;110;220;-16.727349;28.067723
A-38-4-0009402;Playa Honda Ii;Extrahotelera;Apartamento;2 Llaves;C/. Noelia Afonso, 8;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38660;107;321;-16.729503;28.058621
A-38-4-0009500;Sombrero, El;Extrahotelera;Apartamento;1 Llave;Jose Gonzalez Fortes, 28,;Tenerife;Santa Cruz De Tenerife;Santiago Del Teide;Acantilados De Los Gigantes;38683;32;83;-16.840336;28.244432
A-38-4-0009501;Harbour Club Ii;Extrahotelera;Apartamento;1 Llave;Jose Antonio Gonzalez Fortes, 53, Vda., 26;Tenerife;Santa Cruz De Tenerife;Santiago Del Teide;Acantilados De Los Gigantes;38000;29;87;-16.839071;28.244276
A-38-4-0009502;Harbour Club I;Extrahotelera;Apartamento;1 Llave;Jose Antonio Gonzalez Fortes, 26 Avda., 26;Tenerife;Santa Cruz De Tenerife;Santiago Del Teide;Acantilados De Los Gigantes;38436;32;128;-16.839719;28.242886
A-38-4-0009735;La Guazadera;Extrahotelera;Casa Emblematica;_U;_U;Tenerife;Santa Cruz De Tenerife;Guimar;Güimar;38500;0;0;-16.415315;28.311261
A-38-4-0010800;Molino Blanco;Extrahotelera;Apartamento;Tres Estrellas;C/. Almacigo, 2;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;64;128;-16.537123;28.41299
A-38-4-0011100;Parque Mesa Del Mar;Extrahotelera;Apartamento;Tres Estrellas;Ernesto Castro Fariña, 57 - Urb. Mesa Del Mar,;Tenerife;Santa Cruz De Tenerife;Tacoronte;Mesa Del Mar;38350;86;272;-16.41316;28.49865
A-38-4-0011200;Bungalows Atlantida;Extrahotelera;Apartamento;Tres Estrellas;Avda. Londres, 3;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38650;192;630;-16.710266;28.050601
A-38-4-0013000;Parque Cattleya;Extrahotelera;Apartamento;2 Llaves;Avda. Santiago Puig, S/N;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38660;39;100;-16.728056;28.061944
A-38-4-0013800;Alegria Barranco;Extrahotelera;Apartamento;_U;_U;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38640;75;225;-16.728723;28.062172
A-38-4-0014903;Tinerfe Garden-Tigarsur;Extrahotelera;Apartamento;2 Llaves;Avda. De Los Pueblos (Urb. San Eugenio), 24;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38660;45;127;-16.731025;28.079378
A-38-4-0015102;Comodoro-Bailey;Extrahotelera;Apartamento;1 Llave;Juan Carlos I, 30, Avda.,;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38000;12;32;-16.712169;28.048851
A-38-4-0015106;Comodoro-Victor;Extrahotelera;Apartamento;1 Llave;Juan Carlos I, 30, Avda.,;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38000;3;7;-16.712169;28.048851
A-38-4-0015300;Verodal;Extrahotelera;Apartamento;2 Llaves;Montaña Chica, S/N., S/N;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38000;12;48;-16.716139;28.054447
A-38-4-0016400;Florida Park Club;Extrahotelera;Apartamento;2 Llaves;Urb. San Eugenio Alto ,;Tenerife;Santa Cruz De Tenerife;Adeje;San Eugenio;38670;31;81;-16.731803;28.077376
A-38-4-0016700;Tina;Extrahotelera;Apartamento;1 Llave;Amalia, 1, Avda., S/N;Tenerife;Santa Cruz De Tenerife;Granadilla De Abona;Medano (El);38612;2;4;-16.537824;28.044592
A-38-4-0017100;Compostela Beach;Extrahotelera;Apartamento;Tres Estrellas;Avda. Litoral, 8;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38660;242;836;-16.728136;28.053967
A-38-4-0017500;Altamar;Extrahotelera;Apartamento;2 Llaves;Arquitecto Gomez Cuesta, 8, 8;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38000;49;253;-16.72799;28.06557
A-38-4-0019500;Costamar-Valiente;Extrahotelera;Apartamento;1 Llave;Juan Carlos I, 40,;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38000;31;100;-16.709972;28.045223
A-38-4-0019605;Ciudad Jardin-Olympus;Extrahotelera;Apartamento;1 Llave;Avda. De Los Pueblos (Urb. Ciudad Jardin), 16;Tenerife;Santa Cruz De Tenerife;Adeje;San Eugenio;38670;170;554;-16.730519;28.07551
A-38-4-0019800;Ocean Park;Extrahotelera;Apartamento;2 Llaves;San Eugenio Urb.,;Tenerife;Santa Cruz De Tenerife;Adeje;San Eugenio;38660;105;310;-16.72327;28.08961
A-38-4-0020903;Marina Primavera Fase Ii-Reader;Extrahotelera;Apartamento;2 Llaves;San Eugenio, 2 Urb.,;Tenerife;Santa Cruz De Tenerife;Adeje;San Eugenio;38000;2;4;-16.731897;28.080069
A-38-4-0021600;Hg Cristian Sur;Extrahotelera;Apartamento;Tres Estrellas;Amsterdan, 4 - Avda.,;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38650;132;496;-16.710208;28.052441
A-38-4-0021700;Be Smart Florida;Extrahotelera;Apartamento;2 Llaves;C/. Calafate (Polig. San Felipe) , 3;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;48;96;-16.556761;28.413132
A-38-4-0021900;Teide Mar;Extrahotelera;Apartamento;Tres Estrellas;Aceviños, 6 -  Urb. La Paz,;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38000;166;332;-16.536715;28.415033
A-38-4-0022000;Ana Maria;Extrahotelera;Apartamento;1 Llave;Ramon Pino, 17, 17;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38000;5;20;-16.719741;28.051876
A-38-4-0022100;California;Extrahotelera;Apartamento;2 Llaves;C/. Noelia Afonso, 2;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38660;95;200;-16.728999;28.060382
A-38-4-0023000;Parque Santiago Iii-Santiago Sur;Extrahotelera;Apartamento;Tres Estrellas;Avda. De Las Americas, S/N.,;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38660;465;1343;-16.733284;28.055072
A-38-4-0023100;Laguna Park;Extrahotelera;Apartamento;Tres Estrellas;Avda. De Los Pueblos (Urb. San Eugenio), 26;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38660;144;290;-16.730715;28.079579
A-38-4-0023600;Pueblo Torviscas;Extrahotelera;Apartamento;Tres Estrellas;C/. Valencia, 3 (Costa Adeje), S/N;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38660;40;87;-16.734787;28.081934
A-38-4-0023601;Sunset Harbour Club;Extrahotelera;Apartamento;_U;_U;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38660;127;348;-16.734855;28.081825
A-38-4-0024301;Summerland-Fernandez;Extrahotelera;Apartamento;2 Llaves;Asomada De Los Eres,;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38000;30;70;-16.708617;28.053613
A-38-4-0024404;Royal Palm;Extrahotelera;Apartamento;2 Llaves;C/. El Rodeo (Urb. Oasis Del Sur), 6;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38650;119;338;-16.704887;28.051101
A-38-4-0024700;The Suites At Beverly Hills;Extrahotelera;Apartamento;_U;_U;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38650;247;890;-16.705082;28.051881
A-38-4-0024900;Park Plaza;Extrahotelera;Apartamento;2 Llaves;Jose De Arroyo, 2, 4;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38000;49;98;-16.551359;28.416002
A-38-4-0025400;Aguamar;Extrahotelera;Apartamento;Tres Estrellas;C/. Albany, 2;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38650;140;430;-16.709494;28.05383
A-38-4-0025500;Fuentes, Las;Extrahotelera;Apartamento;2 Llaves;Suecia Avda. Prolongacion, S/N;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38000;18;54;-16.721207;28.051304
A-38-4-0025900;Finca El Rincon;Extrahotelera;Apartamento;1 Llave;Ancon, 37 Cmno., 37;Tenerife;Santa Cruz De Tenerife;La Orotava;Rincon (El);38314;8;30;-16.515287;28.415831
A-38-4-0026000;Andorra;Extrahotelera;Apartamento;2 Llaves;Antonio Dominguez, 10, S/N;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38660;59;185;-16.728611;28.056389
A-38-4-0026500;Durazno;Extrahotelera;Apartamento;2 Llaves;Principes De España, 1 Avda.,;Tenerife;Santa Cruz De Tenerife;Granadilla De Abona;Medano (El);38612;37;131;-16.538651;28.045296
A-38-4-0026900;Parque Royale;Extrahotelera;Apartamento;Tres Estrellas;Ernesto Sartie, 10 - Avda.,;Tenerife;Santa Cruz De Tenerife;Adeje;Torviscas;38660;56;159;-16.732632;28.084463
A-38-4-0027100;Paradise Park;Extrahotelera;Apartamento;Tres Estrellas;Oasis Del Sur, S/N. Urb.,;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38650;112;361;-16.705884;28.053736
A-38-4-0027301;Sunset Bay Club;Extrahotelera;Apartamento;_U;_U;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38000;206;653;-16.731888;28.083032
A-38-4-0027501;Perla Gris;Extrahotelera;Apartamento;2 Llaves;C/. La Lava, 4,;Tenerife;Santa Cruz De Tenerife;Adeje;Callao Salvaje;38000;108;341;-16.783752;28.129372
A-38-4-0027700;Green Park (El Cid Y La Corbeta);Extrahotelera;Apartamento;Tres Estrellas;Urb. Golf Del Sur, S/N.,;Tenerife;Santa Cruz De Tenerife;San Miguel De Abona;Golf Del Sur;38620;188;566;-16611;28.02767
A-38-4-0027800;Punta Negra;Extrahotelera;Apartamento;2 Llaves;El Drago, 48 -  (Playa La Arena),;Tenerife;Santa Cruz De Tenerife;Santiago Del Teide;Santiago Del Teide;38683;9;29;-16.840481;28.227056
A-38-4-0028200;Paloma Beach-Parkes;Extrahotelera;Apartamento;Tres Estrellas;Avda. Juan Carlos I, 43;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38640;146;495;-16.709237;28.044663
A-38-4-0028501;Miramar-Marrero;Extrahotelera;Apartamento;1 Llave;Maritima, S/N. Avda.,;Tenerife;Santa Cruz De Tenerife;Granadilla De Abona;Medano (El);38000;3;15;-16.540276;28.043425
A-38-4-0028600;Casablanca;Extrahotelera;Apartamento;Tres Estrellas;C/. Calzada De Martianez (Urb. El Tope) , 4;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;122;410;-16.543095;28.413964
A-38-4-0030200;Club Ambassador-Parque Farrais;Extrahotelera;Apartamento;Cuatro Estrellas;C/. Granados (Urb. El Durazno), 18;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Durazno (El);38400;40;87;-16.538063;28.407681
A-38-4-0031600;Oro Blanco;Extrahotelera;Apartamento;2 Llaves;Arquitecto Gomez Cuesta, 12, 12;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38000;143;442;-16.727392;28.064223
A-38-4-0031700;Geminis-Laurent;Extrahotelera;Apartamento;1 Llave;Ten-Bel Urb.,;Tenerife;Santa Cruz De Tenerife;Arona;Ten-Bel;38000;2;8;-16.65062;28.01048
A-38-4-0032100;Drago-Peeraer;Extrahotelera;Apartamento;1 Llave;Ten-Bel Urb.,;Tenerife;Santa Cruz De Tenerife;Arona;Ten-Bel;38000;5;10;-16.65062;28.01048
A-38-4-0032101;Drago-Laurent;Extrahotelera;Apartamento;1 Llave;Ten-Bel Urb.,;Tenerife;Santa Cruz De Tenerife;Arona;Ten-Bel;38000;2;8;-16.65062;28.01048
A-38-4-0032900;Malola;Extrahotelera;Apartamento;2 Llaves;Tenerife, 2, 2;Tenerife;Santa Cruz De Tenerife;Granadilla De Abona;Medano (El);38612;25;80;-16.538689;28.046811
A-38-4-0033100;Parque Del Sol;Extrahotelera;Apartamento;Tres Estrellas;C/. Londres (Urb. Playa Fañabe), 11;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38639;184;422;-16.736033;28.089433
A-38-4-0033402;Victoria Court Ii;Extrahotelera;Apartamento;1 Llave;Antonio Dominguez, Avda.,;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38000;53;179;-16.7281;28.05673
A-38-4-0035900;Marazul Del Sur;Extrahotelera;Apartamento;2 Llaves;Ctra. General A Playa San Juan,;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38000;168;657;-16.766683;28.156445
A-38-4-0036100;Parque Cattleya Ii-Rebeca;Extrahotelera;Apartamento;1 Llave;C/. Victor Zurita Soler, 4 ,;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38660;27;74;-16.728056;28.061944
A-38-4-0036900;Parque Albatros;Extrahotelera;Apartamento;Tres Estrellas;Urb. El Guincho, S/N.,;Tenerife;Santa Cruz De Tenerife;San Miguel De Abona;Golf Del Sur;38620;158;515;-16.60775;28033
A-38-4-0037100;Ocean Azahara Playa;Extrahotelera;Apartamento;2 Llaves;Suecia, S/N. Prolong. Avda.,;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38650;69;159;-16.7175;28.052501
A-38-4-0037300;Yucca Park;Extrahotelera;Apartamento;Tres Estrellas;C/. Londres (Urb. Fañabe) , 8;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38670;98;312;-16.734994;28.087912
A-38-4-0037500;Regency Club;Extrahotelera;Apartamento;Tres Estrellas;C/ Cataluña, 2 - Torviscas Alta Urb., 2;Tenerife;Santa Cruz De Tenerife;Adeje;Playa De Las Americas;38000;90;270;-16.725718;28.085703
A-38-4-0037600;Lagos De Fañabe;Extrahotelera;Apartamento;Tres Estrellas;C/. Londres (Urb. Playa De Fañabe), 8;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38670;97;216;-16.735718;28.086628
A-38-4-0037800;Piramides;Extrahotelera;Apartamento;Tres Estrellas;Victor Zurita Soler, 4,;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38660;338;742;-16.728437;28.063407
A-38-4-0038100;Victoria Court I;Extrahotelera;Apartamento;1 Llave;C/. Londres, 6;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38650;105;336;-16.70975;28.04991
A-38-4-0038400;Klayman Olivina Aparthotel;Extrahotelera;Apartamento;Tres Estrellas;Avda. Amsterdam (Urb. Oasis Del Sur), 6;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38650;49;135;-16.708123;28.050461
A-38-4-0038600;Neptuno Costa Adeje;Extrahotelera;Apartamento;Tres Estrellas;C/. Cataluña (Torviscas Alto), 3;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38678;106;308;-16.725868;28.084827
A-38-4-0038700;Mar Y Sol;Extrahotelera;Apartamento;Tres Estrellas;Avda. Amsterdan, 8;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38650;164;423;-16.707462;28.049709
A-38-4-0039100;Sun Beach;Extrahotelera;Apartamento;Tres Estrellas;C/. Londres (Playa De Fañabe), 3;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38670;135;290;-16.734696;28.085916
A-38-4-0039300;Labranda Villas Fañabe;Extrahotelera;Apartamento;_U;_U;Tenerife;Santa Cruz De Tenerife;Adeje;Costa Adeje;38670;106;346;-16.734248;28.088356
A-38-4-0039500;Be Smart Florida Plaza;Extrahotelera;Apartamento;Tres Estrellas;C/. Puerto Viejo, 30;Tenerife;Santa Cruz De Tenerife;Puerto De La Cruz;Puerto De La Cruz;38400;132;276;-16.553483;28.416174
A-38-4-0039600;Bal Apartments;Extrahotelera;Apartamento;2 Llaves;Villas De La Playa, 19, 19;Tenerife;Santa Cruz De Tenerife;Arona;Playa De Las Americas (Arona);38660;11;22;-16.732124;28.061964
A-38-4-0040200;Golf Park I;Extrahotelera;Apartamento;Tres Estrellas;Golf Del Sur Urb.,;Tenerife;Santa Cruz De Tenerife;San Miguel De Abona;Golf Del Sur;38620;18;54;-16.606946;28.027161
A-38-4-0040700;Tenerife Sur;Extrahotelera;Apartamento;Tres Estrellas;Amsterdam. 7,;Tenerife;Santa Cruz De Tenerife;Arona;Cristianos (Los);38650;199;539;-16.70965;28.0526
A-38-4-0040900;Rosas, Las;Extrahotelera;Apartamento;2 Llaves;C/. Las Rosas,  S/N. (Urb. Las Rosas),;Tenerife;Santa Cruz De Tenerife;Santiago Del Teide;Puerto De Santiago;38683;92;418;-16.839965;28.240303
